,eff_stress,VP,VS,DEN,VSH_GR,PHIT_ND
464,21.58,3260.49,1742.11,2.12,0.38,0.33
465,21.59,3222.36,1703.84,2.17,0.5,0.31
466,21.61,3183.63,1682.42,2.14,0.35,0.32
467,21.63,3285.76,1775.32,2.18,0.17,0.3
468,21.64,3249.04,1740.57,2.17,0.26,0.31
469,21.66,3157.8,1663.6,2.16,0.32,0.31
470,21.68,3180.55,1687.38,2.14,0.23,0.32
471,21.69,3140.54,1642.72,2.17,0.31,0.33
472,21.71,3100.2,1622.77,2.14,0.24,0.32
473,21.73,3195.27,1696.46,2.12,0.27,0.34
474,21.74,3078.3,1589.95,2.17,0.42,0.32
475,21.76,3113.53,1625.82,2.16,0.36,0.31
476,21.78,3072.48,1585.58,2.18,0.47,0.31
477,21.79,3154.42,1660.35,2.19,0.33,0.3
478,21.81,3289.18,1739.17,2.36,0.56,0.22
479,21.83,3117.08,1606.17,2.21,0.53,0.31
480,21.85,3214.06,1677.47,2.22,0.61,0.31
481,22.56,3326.62,1814.83,2.24,0.07,0.27
482,22.58,3286.48,1786.06,2.2,0.01,0.29
483,22.6,3387.84,1866.47,2.22,0.03,0.26
484,22.61,3358.77,1838.91,2.23,0.05,0.28
485,22.63,3337.14,1821.07,2.24,0.1,0.26
486,22.65,3289.19,1780.43,2.2,0.11,0.3
487,22.67,3351.62,1836.97,2.22,0.04,0.28
488,22.69,3256.03,1757.14,2.23,0.08,0.28
489,22.7,3331.59,1818.67,2.16,0.07,0.3
490,22.72,3213.19,1726.47,2.26,0.02,0.25
491,22.74,3175.56,1695.36,2.15,0.04,0.3
492,22.76,3200.34,1716.23,2.17,0.02,0.3
493,22.77,3179.54,1698.43,2.17,0.01,0.32
494,22.79,3231.31,1738.77,2.17,0.06,0.31
495,22.81,3294.69,1785.23,2.19,0.08,0.31
496,22.82,3225.55,1732.64,2.16,0.08,0.32
497,23.58,3196.27,1674.11,2.26,0.5,0.28
498,23.6,3246.41,1709.33,2.32,0.42,0.26
499,23.61,3281.96,1740.91,2.29,0.49,0.26
500,24.67,3403.45,1695.93,2.29,0.72,0.29
501,23.62,3251.46,1712.9,2.28,0.53,0.27
502,24.68,3319.73,1888.78,2.15,0.1,0.3
503,23.64,3282.1,1746.38,2.28,0.44,0.26
504,24.7,3188.56,1771.01,2.12,0.11,0.32
505,23.66,3300.69,1755.41,2.28,0.49,0.27
506,24.71,3336.27,1735.52,2.13,0.06,0.32
507,23.68,3516.15,1933.34,2.37,0.33,0.22
508,24.73,3211.26,1725.68,2.12,0.11,0.33
509,23.69,3261.63,1761.12,2.22,0.09,0.28
510,24.74,3233.61,1764.37,2.13,0.16,0.32
511,23.71,3244.85,1746.45,2.16,0.11,0.3
512,24.76,3223.49,1777.59,2.15,0.18,0.31
513,23.72,3342.48,1820.03,2.25,0.18,0.26
514,24.77,3279.52,1899.73,2.21,0.19,0.28
515,23.74,3401.52,1853.63,2.29,0.31,0.25
516,24.79,3506.87,1939.11,2.19,0.04,0.28
517,23.76,3327.17,1814.69,2.19,0.08,0.29
518,24.8,3371.86,1948.83,2.19,0.0,0.29
519,23.77,3460.35,1923.19,2.19,0.05,0.28
520,23.78,3434.16,1905.74,2.21,0.0,0.28
521,23.79,3480.4,1942.15,2.21,0.01,0.27
522,23.79,3479.24,1941.99,2.2,0.0,0.27
523,23.8,3460.15,1926.52,2.2,0.0,0.28
524,23.81,3463.68,1926.84,2.19,0.04,0.28
525,23.82,3459.19,1918.59,2.18,0.11,0.29
526,23.83,3496.98,1951.52,2.18,0.07,0.28
527,23.83,3520.49,1974.75,2.22,0.01,0.26
528,23.84,3591.97,2032.32,2.23,0.0,0.26
529,24.89,3342.57,1823.82,2.18,0.0,0.29
530,23.86,3497.99,1957.07,2.21,0.0,0.28
531,24.91,3382.67,1884.73,2.19,0.03,0.29
532,23.87,3419.8,1888.65,2.18,0.08,0.29
533,24.92,3367.04,1815.06,2.17,0.0,0.3
534,23.89,3338.11,1819.33,2.18,0.14,0.3
535,24.94,3315.04,1821.29,2.14,0.08,0.31
536,23.9,3297.17,1783.0,2.16,0.19,0.3
537,24.95,3344.73,1859.2,2.15,0.06,0.31
538,23.92,3422.61,1889.79,2.2,0.1,0.29
539,24.97,3346.26,1859.61,2.13,0.02,0.32
540,23.94,3374.81,1853.51,2.19,0.07,0.28
541,24.98,3346.88,1828.13,2.13,0.02,0.32
542,23.95,3355.25,1841.6,2.17,0.01,0.29
543,25.0,3182.87,1691.79,2.11,0.04,0.33
544,23.97,3398.58,1872.9,2.17,0.06,0.29
545,25.01,3225.87,1726.24,2.12,0.02,0.33
546,23.98,3369.64,1847.78,2.17,0.09,0.3
547,25.02,3189.03,1801.42,2.14,0.1,0.32
548,24.0,3374.07,1855.39,2.18,0.03,0.29
549,25.04,3238.66,1777.23,2.12,0.06,0.32
550,24.01,3431.83,1902.64,2.19,0.02,0.29
551,25.05,3228.76,1782.25,2.14,0.07,0.31
552,24.03,3410.35,1884.71,2.18,0.03,0.29
553,25.07,3310.23,1820.68,2.17,0.1,0.3
554,24.04,3329.8,1821.82,2.15,0.0,0.3
555,25.08,3311.43,1827.69,2.14,0.13,0.31
556,24.06,3343.4,1832.4,2.16,0.01,0.3
557,25.1,3387.61,1849.83,2.17,0.02,0.3
558,24.07,3331.77,1820.41,2.16,0.05,0.31
559,25.11,3338.34,1821.26,2.15,0.04,0.31
560,24.09,3399.28,1877.69,2.16,0.0,0.3
561,25.13,3331.51,1805.77,2.15,0.05,0.31
562,24.1,3339.3,1826.99,2.15,0.04,0.3
563,25.14,3197.85,1709.68,2.12,0.15,0.33
564,24.12,3410.04,1885.13,2.16,0.02,0.3
565,24.14,3356.46,1842.9,2.15,0.01,0.31
566,24.15,3358.91,1843.72,2.17,0.02,0.29
567,24.16,3352.38,1838.13,2.17,0.03,0.3
568,24.18,3358.59,1837.25,2.17,0.12,0.3
569,24.19,3318.19,1808.59,2.15,0.06,0.3
570,24.21,3695.49,2106.87,2.32,0.13,0.21
571,26.61,3356.02,1956.41,2.22,0.16,0.28
572,26.63,3462.37,1932.93,2.22,0.14,0.28
573,26.65,3657.25,2222.46,2.44,0.52,0.18
574,26.67,3447.45,2027.28,2.25,0.2,0.27
575,26.68,3563.92,2110.75,2.28,0.18,0.24
576,26.7,3409.32,1943.72,2.25,0.15,0.26
577,26.72,3546.9,2079.42,2.27,0.16,0.25
578,26.74,3533.91,2065.66,2.24,0.13,0.27
579,26.76,3574.9,2118.83,2.27,0.14,0.25
580,26.78,3565.77,2086.01,2.29,0.11,0.25
581,26.8,3500.93,2035.67,2.25,0.1,0.26
582,26.81,3501.92,2040.9,2.25,0.16,0.27
583,26.83,3523.62,2044.14,2.21,0.17,0.29
584,26.85,3355.53,1947.3,2.24,0.23,0.28
585,26.87,3349.52,1961.33,2.21,0.21,0.29
586,26.89,3259.83,1886.58,2.19,0.22,0.29
587,26.9,3304.98,1896.12,2.18,0.19,0.3
588,26.92,3297.18,1897.26,2.18,0.18,0.3
589,27.28,3354.44,1848.06,2.17,0.03,0.29
590,27.3,3307.02,1916.75,2.19,0.11,0.28
591,27.32,3343.74,1900.6,2.14,0.02,0.31
592,27.33,3476.69,1949.75,2.2,0.0,0.28
593,27.35,3407.64,1943.49,2.2,0.06,0.29
594,27.37,3608.77,2015.29,2.28,0.43,0.24
595,27.39,3701.14,2053.29,2.33,0.36,0.22
596,27.41,3399.72,1869.93,2.22,0.27,0.29
597,27.43,3223.8,1880.04,2.18,0.32,0.3
598,27.45,3354.06,1769.46,2.49,0.95,0.2
599,27.47,3520.15,1977.76,2.37,1.0,0.23
600,27.48,3351.0,1929.69,2.13,0.09,0.31
601,27.5,3378.28,1908.94,2.15,0.12,0.31
602,27.52,3304.48,1885.8,2.14,0.13,0.31
603,27.53,3166.38,1831.78,2.12,0.16,0.32
604,27.55,3455.63,2112.3,2.3,0.38,0.25
605,27.57,3454.15,1976.11,2.18,0.1,0.29
606,27.59,3392.0,1984.79,2.2,0.13,0.29
607,27.61,4020.11,2172.11,2.46,0.37,0.16
608,27.63,3407.54,2033.64,2.23,0.03,0.26
609,27.64,3489.0,2002.8,2.22,0.07,0.27
610,27.66,3472.43,1981.44,2.2,0.04,0.28
611,27.68,3856.46,2224.14,2.51,0.56,0.14
612,26.92,3568.67,2150.11,2.43,0.14,0.2
613,26.93,3064.86,1961.77,2.18,0.21,0.3
614,26.94,3035.55,1975.12,2.17,0.17,0.31
615,26.96,3010.07,1927.65,2.17,0.0,0.31
616,26.97,3143.89,1959.12,2.19,0.05,0.31
617,26.98,2999.7,1864.9,2.19,0.09,0.31
618,26.99,3106.4,1964.3,2.18,0.04,0.31
619,27.0,3228.13,1960.63,2.21,0.05,0.3
620,27.01,3381.78,2008.96,2.26,0.17,0.27
621,27.02,3223.01,1991.64,2.24,0.07,0.28
622,27.04,3103.87,2019.61,2.19,0.03,0.3
623,27.05,3083.77,2025.25,2.2,0.21,0.3
624,27.06,3218.92,2038.52,2.22,0.41,0.29
625,27.07,3190.62,2034.03,2.19,0.06,0.3
626,27.08,3167.41,2013.34,2.21,0.09,0.29
627,27.09,3313.76,2154.06,2.23,0.05,0.28
628,27.11,3230.18,2041.39,2.2,0.0,0.29
629,27.12,3330.78,2081.4,2.2,0.0,0.29
630,27.13,3313.76,2063.08,2.22,0.11,0.29
631,27.14,3313.76,2029.7,2.22,0.1,0.29
632,27.15,3450.7,2043.17,2.41,0.59,0.23
633,27.16,3307.29,1927.77,2.26,0.27,0.28
634,27.18,3426.26,2118.14,2.36,0.31,0.24
635,27.19,3212.82,2102.07,2.21,0.09,0.28
636,27.2,3288.03,2167.24,2.21,0.0,0.28
637,27.21,3282.36,2115.34,2.21,0.0,0.28
638,27.22,3347.24,2142.86,2.22,0.0,0.27
639,27.24,3366.1,2143.76,2.24,0.0,0.27
640,27.25,3343.94,2090.97,2.21,0.02,0.28
641,27.26,3369.07,2102.21,2.2,0.01,0.28
642,27.27,3410.54,2095.13,2.22,0.01,0.28
643,27.28,3432.05,2072.91,2.21,0.12,0.29
644,27.29,3464.42,2107.01,2.24,0.12,0.28
645,27.31,3498.22,2120.5,2.24,0.0,0.27
646,27.32,3526.96,2114.76,2.24,0.0,0.27
647,27.33,3519.22,2109.05,2.23,0.0,0.28
648,27.34,3569.92,2153.45,2.25,0.02,0.27
649,27.35,3578.72,2138.95,2.26,0.04,0.27
650,27.37,3516.79,2086.53,2.23,0.06,0.28
651,27.38,3504.25,2081.54,2.21,0.01,0.28
652,27.39,3488.21,2097.73,2.22,0.0,0.29
653,27.4,3534.32,2115.79,2.23,0.0,0.28
654,27.41,3498.22,2106.86,2.22,0.0,0.28
655,27.42,3479.45,2081.4,2.2,0.0,0.3
656,27.44,3509.9,2100.04,2.23,0.0,0.28
657,27.45,3496.21,2102.5,2.21,0.0,0.28
658,27.46,3540.48,2109.2,2.21,0.0,0.28
659,27.47,3511.93,2100.77,2.21,0.01,0.29
660,27.48,3478.66,2094.85,2.21,0.0,0.29
661,27.49,3465.21,2096.57,2.21,0.03,0.29
662,27.51,3394.97,2021.09,2.2,0.19,0.3
663,32.21,3712.55,2039.33,2.53,0.61,0.19
664,32.23,3659.06,2025.83,2.47,0.4,0.19
665,32.25,3781.64,2148.42,2.47,0.16,0.18
666,32.27,3703.52,2062.33,2.51,0.3,0.18
667,32.29,4130.08,2390.29,2.61,0.3,0.13
668,32.32,3672.29,2050.78,2.46,0.24,0.19
669,32.34,3882.8,2215.18,2.51,0.24,0.16
670,32.36,3598.58,1969.92,2.48,0.44,0.2
671,32.38,3685.61,2065.9,2.44,0.28,0.19
672,32.4,3611.37,1990.06,2.46,0.41,0.19
673,32.42,3690.07,2062.83,2.43,0.36,0.2
674,32.45,3699.03,2028.08,2.55,0.6,0.18
675,32.47,3762.96,2104.81,2.53,0.42,0.16
676,32.49,3624.26,1951.79,2.53,0.77,0.2
677,32.51,3607.1,1934.59,2.52,0.82,0.21
678,32.53,3699.03,2078.43,2.44,0.31,0.18
679,32.56,3672.29,2063.28,2.44,0.19,0.19
680,32.58,3632.9,2029.27,2.43,0.16,0.2
681,32.6,3637.23,2016.99,2.46,0.36,0.19
682,32.62,3676.72,2041.98,2.46,0.43,0.19
683,32.64,3753.69,2110.94,2.46,0.39,0.18
684,32.66,3749.08,2098.56,2.48,0.43,0.18
685,32.69,3645.93,1977.31,2.51,0.77,0.2
686,32.71,3708.03,2038.36,2.53,0.57,0.19
687,32.73,3744.47,2078.29,2.53,0.51,0.17
688,32.75,3735.29,2074.05,2.53,0.51,0.17
689,32.78,3619.95,1967.66,2.52,0.63,0.18
690,32.8,3471.53,1824.36,2.59,0.73,0.19
691,32.82,3645.93,2026.71,2.47,0.3,0.19
692,32.84,3581.67,1995.96,2.37,0.17,0.22
693,32.86,3897.7,2263.49,2.41,0.12,0.18
694,32.88,3598.58,2013.55,2.38,0.21,0.2
695,32.9,3721.61,2091.45,2.5,0.23,0.17
696,32.92,3690.07,2073.91,2.44,0.24,0.19
697,32.95,3676.72,2039.95,2.49,0.37,0.18
698,32.97,3810.0,2136.0,2.55,0.38,0.17
699,32.99,3726.16,2046.48,2.56,0.57,0.18
700,33.01,3781.64,2094.48,2.54,0.67,0.17
701,33.04,3805.24,2127.6,2.53,0.53,0.16
702,33.06,3863.12,2177.11,2.56,0.43,0.15
703,33.08,3800.5,2101.06,2.61,0.6,0.15
704,33.1,3712.55,2021.16,2.56,0.67,0.2
705,33.13,3833.96,2121.57,2.56,0.74,0.17
706,33.15,3912.71,2155.78,2.62,0.84,0.19
707,33.91,3554.37,2388.56,2.3,0.06,0.21
708,33.93,3618.6,2403.82,2.29,0.01,0.22
709,33.95,3856.74,2448.4,2.31,0.0,0.21
710,33.97,3818.78,2441.08,2.27,0.0,0.23
711,33.99,3774.32,2370.67,2.27,0.0,0.23
712,39.23,4604.23,2846.66,2.51,0.0,0.1
713,39.25,4096.77,2438.58,2.42,0.0,0.15
714,39.27,4221.61,2537.84,2.45,0.01,0.14
715,39.3,4385.61,2670.65,2.47,0.0,0.13
716,39.32,4204.14,2524.92,2.38,0.0,0.16
717,39.34,4080.32,2420.79,2.39,0.06,0.17
718,39.36,4096.77,2436.25,2.38,0.03,0.18
719,39.38,4280.9,2585.17,2.39,0.02,0.17
720,39.4,4053.19,2397.64,2.4,0.08,0.16
721,39.42,4398.27,2677.94,2.49,0.02,0.12
722,39.44,4169.63,2493.5,2.44,0.04,0.15
723,39.46,4074.87,2419.82,2.36,0.01,0.19
724,39.48,4047.81,2397.04,2.38,0.03,0.19
725,39.5,3853.35,2228.28,2.4,0.06,0.19
726,39.52,4015.81,2370.93,2.39,0.03,0.17
727,39.54,3979.11,2331.7,2.43,0.16,0.16
728,39.36,3724.08,2138.87,2.29,0.0,0.21
729,39.38,3976.92,2340.1,2.41,0.03,0.16
730,39.4,4105.05,2445.24,2.4,0.0,0.17
731,39.42,4146.94,2475.25,2.44,0.0,0.15
732,39.44,4111.97,2450.8,2.38,0.0,0.18
733,39.46,4064.0,2412.23,2.39,0.0,0.17
734,39.47,3876.63,2261.55,2.35,0.0,0.2
735,39.48,3971.34,2334.3,2.39,0.03,0.18
736,39.49,3964.88,2327.09,2.37,0.03,0.19
737,39.5,3971.34,2328.83,2.39,0.09,0.18
738,39.51,4077.59,2407.58,2.43,0.1,0.16
739,39.52,4057.24,2399.93,2.39,0.09,0.18
740,39.53,4098.15,2430.69,2.41,0.05,0.17
741,39.54,3977.81,2329.09,2.35,0.12,0.21
742,39.55,3952.03,2300.28,2.41,0.15,0.18
743,39.56,4003.94,2352.12,2.41,0.07,0.18
744,39.57,3990.83,2351.06,2.42,0.0,0.16
745,39.58,3920.26,2296.63,2.38,0.0,0.18
746,39.59,3745.62,2156.18,2.35,0.0,0.2
747,39.6,3964.88,2332.52,2.35,0.0,0.19
748,39.61,4023.76,2379.21,2.35,0.01,0.19
749,39.62,4139.9,2471.82,2.38,0.02,0.17
750,39.63,4064.0,2409.58,2.4,0.02,0.17
751,39.64,4077.59,2418.5,2.41,0.04,0.17
752,39.65,4003.94,2359.29,2.4,0.03,0.17
753,39.66,4111.97,2446.98,2.4,0.01,0.17
754,39.67,4182.5,2492.41,2.45,0.07,0.16
755,39.68,3990.83,2347.17,2.38,0.06,0.19
756,39.69,4070.78,2416.31,2.36,0.02,0.19
757,39.7,4003.94,2355.64,2.39,0.07,0.18
758,39.71,4057.24,2397.75,2.4,0.05,0.18
759,39.72,4003.94,2362.75,2.39,0.0,0.18
760,39.73,4125.89,2445.38,2.43,0.13,0.16
761,39.74,4125.89,2456.15,2.4,0.04,0.17
762,39.75,4077.59,2407.55,2.42,0.1,0.17
763,39.76,4182.5,2498.07,2.42,0.06,0.16
764,39.77,4270.4,2570.67,2.41,0.09,0.17
765,39.78,4182.5,2501.16,2.42,0.05,0.16
766,39.79,4077.59,2421.38,2.38,0.02,0.18
767,39.8,4139.9,2459.91,2.42,0.07,0.17
768,39.81,4017.13,2374.54,2.35,0.0,0.19
769,39.82,3889.0,2271.49,2.33,0.0,0.2
770,39.83,3984.31,2348.15,2.34,0.0,0.2
771,39.84,4070.78,2408.49,2.44,0.03,0.16
772,39.85,3997.38,2357.87,2.37,0.01,0.18
773,39.86,4023.76,2377.71,2.38,0.03,0.18
774,39.87,4125.89,2457.33,2.39,0.06,0.17
775,39.88,4175.34,2497.16,2.42,0.02,0.16
776,39.89,4139.9,2472.49,2.4,0.0,0.17
777,39.9,4248.08,2560.12,2.4,0.0,0.17
778,39.91,4204.14,2521.56,2.39,0.04,0.18
779,39.92,4233.33,2543.29,2.41,0.06,0.16
780,39.93,4070.78,2417.68,2.33,0.0,0.2
781,39.94,4189.69,2513.3,2.39,0.0,0.17
782,39.95,4070.78,2417.68,2.38,0.0,0.17
783,39.96,4125.89,2461.99,2.36,0.0,0.18
784,39.97,4118.92,2456.24,2.38,0.0,0.18
785,39.98,4098.15,2438.14,2.37,0.02,0.19
786,39.99,4098.15,2435.97,2.38,0.05,0.18
787,40.0,4091.28,2429.9,2.35,0.05,0.19
788,40.01,3913.96,2291.24,2.4,0.0,0.17
789,40.02,4057.24,2406.79,2.38,0.0,0.18
790,40.03,4064.0,2412.23,2.37,0.0,0.18
791,40.04,4105.05,2445.24,2.4,0.0,0.17
792,40.05,4146.94,2478.92,2.39,0.0,0.16
793,40.06,4146.94,2478.27,2.39,0.01,0.17
794,40.07,4168.21,2495.96,2.38,0.0,0.17
795,40.08,4146.94,2478.92,2.39,0.0,0.17
796,40.09,4168.21,2492.6,2.44,0.0,0.15
797,40.1,4182.5,2507.52,2.46,0.0,0.13
798,40.12,4936.03,3113.48,2.46,0.0,0.11
799,40.13,4233.33,2548.4,2.38,0.0,0.17
800,40.14,4262.94,2572.2,2.41,0.0,0.16
801,40.15,4189.69,2513.3,2.38,0.0,0.17
802,40.16,4240.7,2554.32,2.4,0.0,0.16
803,40.17,4204.14,2524.92,2.39,0.0,0.16
804,40.18,4189.69,2513.3,2.38,0.0,0.17
805,40.19,4218.69,2536.62,2.41,0.0,0.16
806,40.2,4226.0,2542.5,2.39,0.0,0.17
807,40.21,4161.09,2490.3,2.38,0.0,0.18
808,40.22,4182.5,2507.52,2.37,0.0,0.18
809,40.23,4161.09,2490.3,2.38,0.0,0.17
810,40.24,4211.4,2530.76,2.39,0.0,0.17
811,40.25,4211.4,2530.76,2.4,0.0,0.16
812,40.26,4196.9,2519.1,2.4,0.0,0.16
813,43.51,4369.67,2515.82,2.54,0.34,0.15
814,38.15,4279.41,2585.45,2.41,0.0,0.12
815,40.28,4346.52,2635.36,2.45,0.05,0.14
816,43.54,4293.86,2615.82,2.44,0.13,0.16
817,38.17,4375.2,2660.38,2.38,0.03,0.15
818,43.55,4119.14,2607.85,2.43,0.21,0.16
819,40.31,4338.79,2633.2,2.41,0.0,0.15
820,43.56,4115.68,2579.8,2.4,0.09,0.17
821,40.33,4233.33,2545.05,2.42,0.04,0.15
822,43.58,4126.36,2559.89,2.35,0.15,0.19
823,38.22,3841.97,2233.67,2.27,0.0,0.23
824,40.35,4226.0,2539.33,2.43,0.04,0.15
825,43.6,4091.49,2520.34,2.39,0.12,0.18
826,38.24,3931.74,2305.87,2.29,0.0,0.22
827,40.37,4270.4,2575.39,2.43,0.0,0.16
828,43.62,4105.64,2514.38,2.37,0.15,0.18
829,38.26,4285.88,2584.21,2.33,0.08,0.18
830,40.39,4300.53,2600.48,2.38,0.02,0.17
831,43.65,4099.79,2514.7,2.39,0.12,0.18
832,38.28,4281.34,2582.51,2.37,0.05,0.17
833,40.41,4377.74,2659.55,2.45,0.05,0.14
834,43.67,4100.07,2509.36,2.37,0.23,0.18
835,38.3,4132.85,2457.09,2.34,0.13,0.21
836,40.43,4385.61,2670.85,2.43,0.0,0.15
837,43.69,4158.33,2573.79,2.42,0.39,0.17
838,38.32,3973.46,2329.91,2.34,0.12,0.2
839,40.45,4393.51,2677.21,2.42,0.0,0.15
840,43.71,4150.58,2533.3,2.48,0.3,0.15
841,38.34,4065.3,2402.14,2.35,0.14,0.19
842,40.47,4377.74,2663.37,2.41,0.01,0.15
843,43.73,4274.24,2628.92,2.43,0.33,0.17
844,38.36,4047.38,2391.87,2.35,0.09,0.18
845,40.49,4315.75,2614.68,2.38,0.0,0.17
846,43.75,4244.1,2699.35,2.41,0.12,0.16
847,38.38,3994.62,2354.5,2.34,0.03,0.2
848,40.51,4204.14,2524.19,2.38,0.01,0.18
849,43.77,4383.06,2725.65,2.43,0.08,0.15
850,38.4,3876.39,2261.36,2.31,0.0,0.21
851,40.53,4465.93,2732.62,2.41,0.03,0.15
852,43.79,4317.93,2717.81,2.41,0.04,0.16
853,38.42,3815.35,2209.99,2.32,0.03,0.2
854,40.55,4300.53,2602.43,2.41,0.0,0.16
855,43.81,4312.61,2686.56,2.39,0.03,0.17
856,38.44,3857.47,2245.25,2.32,0.01,0.19
857,40.58,4262.94,2565.75,2.41,0.07,0.17
858,43.83,4358.82,2698.09,2.38,0.05,0.17
859,38.46,3821.59,2213.32,2.3,0.05,0.22
860,40.6,4154.0,2464.36,2.39,0.18,0.18
861,43.85,4289.95,2720.93,2.43,0.14,0.15
862,38.48,5401.69,3474.45,2.64,0.06,0.03
863,40.62,4277.89,2579.59,2.4,0.06,0.17
864,43.87,4307.52,2711.19,2.4,0.13,0.16
865,38.5,3928.27,2300.7,2.35,0.03,0.19
866,40.64,4270.4,2578.21,2.37,0.0,0.18
867,43.89,4292.17,2663.34,2.42,0.17,0.15
868,38.52,3806.56,2205.2,2.28,0.0,0.23
869,40.66,4218.69,2534.93,2.38,0.02,0.18
870,43.91,4248.23,2638.44,2.42,0.18,0.16
871,38.54,4008.47,2367.57,2.33,0.0,0.19
872,40.68,4285.41,2588.8,2.39,0.02,0.17
873,43.94,4329.07,2668.4,2.44,0.39,0.16
874,38.56,4941.99,3118.27,2.58,0.0,0.06
875,40.7,4204.14,2522.71,2.38,0.03,0.18
876,43.96,4223.51,2717.73,2.52,0.14,0.12
877,38.58,4074.86,2416.51,2.33,0.06,0.19
878,40.72,4189.69,2513.3,2.41,0.0,0.16
879,43.98,4369.49,2729.19,2.38,0.21,0.17
880,38.6,4090.87,2427.94,2.37,0.07,0.18
881,40.74,4204.14,2512.73,2.42,0.1,0.17
882,44.0,4286.85,2702.71,2.39,0.12,0.17
883,38.62,4038.88,2389.3,2.37,0.04,0.17
884,40.76,4196.9,2511.52,2.4,0.06,0.17
885,44.02,4315.61,2694.74,2.38,0.12,0.17
886,38.64,4006.09,2364.09,2.3,0.02,0.2
887,40.78,4218.69,2524.67,2.41,0.1,0.17
888,44.04,4324.29,2650.17,2.4,0.16,0.17
889,38.66,3937.38,2306.16,2.36,0.06,0.19
890,40.8,4255.5,2559.8,2.41,0.07,0.17
891,40.81,4248.08,2551.79,2.39,0.1,0.17
892,40.82,4240.7,2548.17,2.4,0.02,0.18
893,40.83,4211.4,2523.56,2.38,0.09,0.17
894,40.84,4211.4,2526.77,2.38,0.05,0.18
895,40.85,4226.0,2535.25,2.39,0.09,0.17
896,44.11,4246.12,2705.18,2.38,0.06,0.17
897,44.13,4336.16,2730.2,2.39,0.06,0.16
898,44.15,4356.99,2695.24,2.38,0.08,0.17
899,44.17,4381.49,2752.34,2.4,0.14,0.16
900,44.2,4636.16,2913.26,2.58,0.08,0.1
901,44.22,4446.67,2776.66,2.41,0.07,0.16
902,44.24,4384.84,2735.34,2.4,0.11,0.16
903,44.26,4411.65,2728.52,2.4,0.14,0.16
904,44.28,4373.66,2719.17,2.45,0.21,0.14
905,44.3,4395.05,2720.41,2.45,0.2,0.14
906,44.31,4411.4,2703.58,2.43,0.23,0.15
907,44.32,4368.58,2682.59,2.45,0.31,0.14
908,44.33,4506.02,2721.66,2.47,0.42,0.14
909,44.34,4657.82,2898.94,2.52,0.1,0.12
910,44.35,4468.32,2837.6,2.43,0.02,0.14
911,44.36,4413.52,2829.09,2.42,0.04,0.15
912,44.37,4571.38,2824.74,2.42,0.03,0.14
913,44.38,4512.36,2834.81,2.42,0.09,0.15
914,44.39,4376.08,2803.13,2.39,0.0,0.16
915,44.4,4538.55,2876.64,2.39,0.0,0.16
916,44.41,4549.51,2869.54,2.39,0.0,0.15
917,44.42,4537.51,2912.92,2.4,0.01,0.15
918,44.43,4615.7,2901.24,2.41,0.0,0.14
919,44.44,4623.02,2877.7,2.42,0.0,0.14
920,44.45,4550.99,2864.1,2.41,0.01,0.15
921,44.46,4458.63,2872.67,2.42,0.03,0.15
922,44.48,4571.62,2871.07,2.4,0.0,0.15
923,44.49,4630.33,2872.43,2.4,0.06,0.15
924,44.5,4600.62,2905.01,2.4,0.0,0.15
925,44.51,4582.89,2904.51,2.41,0.0,0.15
926,44.52,4498.56,2891.23,2.43,0.0,0.14
927,44.53,4582.96,2892.94,2.4,0.0,0.15
928,44.54,4571.98,2916.24,2.44,0.02,0.13
